paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,doi,matched_title,n_authors_with_profiles
P0496358,conf/aistats/HeinonenTKF25,AISTATS,A,IA / ML,2025,2021-2025,NO,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Robust Classification by Coupling Data Mollification with Label Smoothing,4
P0496358,conf/aistats/HeinonenTKF25,AISTATS,A,IA / ML,2025,2021-2025,SA,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Robust Classification by Coupling Data Mollification with Label Smoothing,4
P0496560,conf/aistats/PuWWN25,AISTATS,A,IA / ML,2025,2021-2025,CN,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Weighted Euclidean Distance Matrices over Mixed Continuous and Categorical Inputs for Gaussian Process Models,4
P0496560,conf/aistats/PuWWN25,AISTATS,A,IA / ML,2025,2021-2025,SG,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Weighted Euclidean Distance Matrices over Mixed Continuous and Categorical Inputs for Gaussian Process Models,4
P0496655,conf/aistats/VaryMR25,AISTATS,A,IA / ML,2025,2021-2025,ES,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Black-Box Uniform Stability for Non-Euclidean Empirical Risk Minimization,3
P0496655,conf/aistats/VaryMR25,AISTATS,A,IA / ML,2025,2021-2025,GB,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Black-Box Uniform Stability for Non-Euclidean Empirical Risk Minimization,3
P0496444,conf/aistats/LheritierF25,AISTATS,A,IA / ML,2025,2021-2025,SA,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Unconditionally Calibrated Priors for Beta Mixture Density Networks,2
P0496717,conf/aistats/YusupovRF25,AISTATS,A,IA / ML,2025,2021-2025,RU,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Knowledge  Graph Completion with Mixed Geometry Tensor Factorization,3
P0496226,conf/aistats/BriscoeKDG25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Algorithmic Accountability in Small Data: Sample-Size-Induced Bias Within Classification Metrics,3
P0496623,conf/aistats/SunJGV25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Mixed-Feature Logistic Regression Robust to Distribution Shifts,4
P0496669,conf/aistats/WangQ25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Conformal Prediction Under Generalized Covariate Shift with Posterior Drift,2
