acronym,title,level,area,for1,status,dblp_key,dblp_conf_url
PPSN,Parallel Problem Solving from Nature,A,IA / ML,4611,CORE_2026_OFICIAL,ppsn,https://dblp.org/db/conf/ppsn/
RAID,"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",A,Seguridad,4604,CORE_2026_OFICIAL,raid,https://dblp.org/db/conf/raid/
RE,IEEE International Requirements Engineering Conference,A,Ing. del Software,4612,CORE_2026_OFICIAL,re,https://dblp.org/db/conf/re/
RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,A,Sistemas,4606,CORE_2026_OFICIAL,rtas,https://dblp.org/db/conf/rtas/
RTSS,Real Time Systems Symposium,A,Sistemas,4606,CORE_2026_OFICIAL,rtss,https://dblp.org/db/conf/rtss/
RecSys,ACM International Conference on Recommender Systems,A,IA / ML,4605,CORE_2026_OFICIAL,recsys,https://dblp.org/db/conf/recsys/
SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering",A,Ing. del Software,4612,CORE_2026_OFICIAL,wcre,https://dblp.org/db/conf/wcre/
SAT,International Conference on Theory and Applications of Satisfiability Testing,A,Teoría,4602,CORE_2026_OFICIAL,sat,https://dblp.org/db/conf/sat/
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",A,Sistemas,CSE,CORE_2026_OFICIAL,sc,https://dblp.org/db/conf/sc/
SDM,SIAM International Conference on Data Mining,A,IA / ML,4605,CORE_2026_OFICIAL,sdm,https://dblp.org/db/conf/sdm/
SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,A,Ing. del Software,4612,CORE_2026_OFICIAL,seams,https://dblp.org/db/conf/seams/
SIGCSE,ACM Special Interest Group on Computer Science Education Conference,A,HCI,4608,CORE_2026_OFICIAL,sigcse,https://dblp.org/db/conf/sigcse/
SIGSPATIAL,ACM International Conference on Advances in Geographic Information Systems,A,Bases de datos,4601,CORE_2026_OFICIAL,gis,https://dblp.org/db/conf/gis/
SOUPS,Symposium On Usable Privacy and Security,A,Seguridad,4608,CORE_2026_OFICIAL,soups,https://dblp.org/db/conf/soups/
STACS,International Symposium on Theoretical Aspects of Computer Science,A,Teoría,4613,CORE_2026_OFICIAL,stacs,https://dblp.org/db/conf/stacs/
TACAS,Tools and Algorithms for Construction and Analysis of Systems,A,Ing. del Software,4612,CORE_2026_OFICIAL,tacas,https://dblp.org/db/conf/tacas/
UAI,Conference in Uncertainty in Artificial Intelligence,A,IA / ML,4602,CORE_2026_OFICIAL,uai,https://dblp.org/db/conf/uai/
UMAP,"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",A,HCI,4608,CORE_2026_OFICIAL,um,https://dblp.org/db/conf/um/
USENIX,Usenix Annual Technical Conference,A,Sistemas,4606,CORE_2026_OFICIAL,usenix,https://dblp.org/db/conf/usenix/
WACV,IEEE Workshop on Applications of Computer Vision,A,IA / ML,4603,CORE_2026_OFICIAL,wacv,https://dblp.org/db/conf/wacv/
WSDM,ACM International Conference on Web Search and Data Mining,A,Bases de datos,4605,CORE_2026_OFICIAL,wsdm,https://dblp.org/db/conf/wsdm/
