window,country_code,country_articles,eu27_uk_articles,resolved_articles,country_name,is_eu27_uk,share_resolved,share_resolved_pct,share_eu27_uk,share_eu27_uk_pct
2011-2015,CU,9,26136,73111,CU,False,0.000123,0.012,0.000344,0.034
2011-2015,JO,9,26136,73111,JO,False,0.000123,0.012,0.000344,0.034
2011-2015,MT,9,26136,73111,MT,True,0.000123,0.012,0.000344,0.034
2011-2015,UY,9,26136,73111,UY,False,0.000123,0.012,0.000344,0.034
2011-2015,CR,8,26136,73111,CR,False,0.000109,0.011,0.000306,0.031
2011-2015,EC,8,26136,73111,EC,False,0.000109,0.011,0.000306,0.031
2011-2015,PE,8,26136,73111,PE,False,0.000109,0.011,0.000306,0.031
2011-2015,UG,8,26136,73111,UG,False,0.000109,0.011,0.000306,0.031
2011-2015,CM,7,26136,73111,CM,False,9.6e-05,0.01,0.000268,0.027
2011-2015,BA,6,26136,73111,BA,False,8.2e-05,0.008,0.00023,0.023
2011-2015,BY,6,26136,73111,BY,False,8.2e-05,0.008,0.00023,0.023
2011-2015,KW,6,26136,73111,KW,False,8.2e-05,0.008,0.00023,0.023
2011-2015,UA,6,26136,73111,UA,False,8.2e-05,0.008,0.00023,0.023
2011-2015,VE,6,26136,73111,VE,False,8.2e-05,0.008,0.00023,0.023
2011-2015,BO,5,26136,73111,BO,False,6.8e-05,0.007,0.000191,0.019
2011-2015,JM,5,26136,73111,JM,False,6.8e-05,0.007,0.000191,0.019
2011-2015,KZ,5,26136,73111,KZ,False,6.8e-05,0.007,0.000191,0.019
2011-2015,LK,5,26136,73111,LK,False,6.8e-05,0.007,0.000191,0.019
2011-2015,TJ,5,26136,73111,TJ,False,6.8e-05,0.007,0.000191,0.019
2011-2015,KE,4,26136,73111,KE,False,5.5e-05,0.005,0.000153,0.015
2011-2015,MK,4,26136,73111,MK,False,5.5e-05,0.005,0.000153,0.015
2011-2015,AM,3,26136,73111,AM,False,4.1e-05,0.004,0.000115,0.011
2011-2015,DO,3,26136,73111,DO,False,4.1e-05,0.004,0.000115,0.011
2011-2015,GH,3,26136,73111,GH,False,4.1e-05,0.004,0.000115,0.011
2011-2015,IQ,3,26136,73111,IQ,False,4.1e-05,0.004,0.000115,0.011
2011-2015,KH,3,26136,73111,KH,False,4.1e-05,0.004,0.000115,0.011
2011-2015,LT,3,26136,73111,LT,True,4.1e-05,0.004,0.000115,0.011
2011-2015,MD,3,26136,73111,MD,False,4.1e-05,0.004,0.000115,0.011
