level,window,rank_eu27_uk,country_code,country_name,country_articles,eu27_uk_articles,share_eu27_uk,share_eu27_uk_pct
A,2011-2015,16,PL,Poland,150,14544,0.010314,1.031
A,2011-2015,17,HU,HU,103,14544,0.007082,0.708
A,2011-2015,18,LU,LU,99,14544,0.006807,0.681
A,2011-2015,19,RO,RO,64,14544,0.0044,0.44
A,2011-2015,20,EE,EE,55,14544,0.003782,0.378
A,2011-2015,21,SI,SI,41,14544,0.002819,0.282
A,2011-2015,22,CY,CY,32,14544,0.0022,0.22
A,2011-2015,23,SK,SK,27,14544,0.001856,0.186
A,2011-2015,24,HR,HR,16,14544,0.0011,0.11
A,2011-2015,25,LV,LV,13,14544,0.000894,0.089
A,2011-2015,26,BG,BG,8,14544,0.00055,0.055
A,2011-2015,27,MT,MT,7,14544,0.000481,0.048
A,2011-2015,28,LT,LT,1,14544,6.9e-05,0.007
A,2016-2020,1,DE,Germany,3996,14816,0.269708,26.971
A,2016-2020,2,GB,United Kingdom,3508,14816,0.236771,23.677
A,2016-2020,3,FR,France,2272,14816,0.153348,15.335
A,2016-2020,4,IT,Italy,1444,14816,0.097462,9.746
A,2016-2020,5,NL,Netherlands,1265,14816,0.085381,8.538
A,2016-2020,6,ES,Spain,909,14816,0.061353,6.135
A,2016-2020,7,AT,Austria,794,14816,0.053591,5.359
A,2016-2020,8,SE,Sweden,632,14816,0.042657,4.266
A,2016-2020,9,BE,Belgium,500,14816,0.033747,3.375
A,2016-2020,10,DK,Denmark,429,14816,0.028955,2.896
A,2016-2020,11,FI,Finland,424,14816,0.028618,2.862
A,2016-2020,12,PT,Portugal,343,14816,0.023151,2.315
A,2016-2020,13,GR,Greece,296,14816,0.019978,1.998
A,2016-2020,14,CZ,Czechia,281,14816,0.018966,1.897
A,2016-2020,15,IE,Ireland,219,14816,0.014781,1.478
A,2016-2020,16,PL,Poland,217,14816,0.014646,1.465
A,2016-2020,17,LU,LU,134,14816,0.009044,0.904
A,2016-2020,18,HU,HU,97,14816,0.006547,0.655
A,2016-2020,19,EE,EE,67,14816,0.004522,0.452
A,2016-2020,20,RO,RO,60,14816,0.00405,0.405
A,2016-2020,21,SI,SI,50,14816,0.003375,0.337
