congress,level,area,booktitle,n_articles,first_year,last_year,n_years,secondary_tokens,flag_secondary_candidate
MICCAI,A,IA / ML,CMMI/RAMBO/SWITCH@MICCAI,18,2017,2017,1,,False
MICCAI,A,IA / ML,DeCaF/FAIR@MICCAI,18,2022,2022,1,,False
MICCAI,A,IA / ML,AIIIMA/MIABID@MICCAI,17,2022,2022,1,,False
MICCAI,A,IA / ML,CARE/CLIP@MICCAI,17,2017,2017,1,,False
MICCAI,A,IA / ML,DATRA/PIPPI@MICCAI,17,2018,2018,1,,False
MICCAI,A,IA / ML,FAIMI/EPIMI@MICCAI,17,2024,2024,1,,False
MICCAI,A,IA / ML,LISA@MICCAI,17,2024,2025,2,,False
MICCAI,A,IA / ML,MedAGI@MICCAI,17,2024,2024,1,,False
MICCAI,A,IA / ML,RAMBO+HVSMR@MICCAI,17,2016,2016,1,,False
MICCAI,A,IA / ML,SASHIMI@MICCAI 2025,17,2025,2025,1,,False
MICCAI,A,IA / ML,UWF4DR@MICCAI,17,2024,2024,1,,False
MICCAI,A,IA / ML,LABELS/HAL-MICCAI/CuRIOUS@MICCAI,16,2019,2019,1,,False
MICCAI,A,IA / ML,MCV@MICCAI,16,2015,2015,1,,False
MICCAI,A,IA / ML,MLCN/DLF/iMIMIC@MICCAI,16,2018,2018,1,,False
MICCAI,A,IA / ML,MyoPS@MICCAI,16,2020,2020,1,,False
MICCAI,A,IA / ML,SemiToothSeg@MICCAI,16,2023,2023,1,,False
MICCAI,A,IA / ML,BRIDGE/DeCaF@MICCAI,15,2025,2025,1,,False
MICCAI,A,IA / ML,DT4H@MICCAI,15,2025,2025,1,,False
MICCAI,A,IA / ML,GRAIL/OCELOT@MICCAI,15,2023,2023,1,,False
MICCAI,A,IA / ML,LAScarQS@MICCAI,15,2022,2022,1,,False
MICCAI,A,IA / ML,ELAMI@MICCAI,14,2025,2025,1,,False
MICCAI,A,IA / ML,SaMBa@MICCAI,14,2018,2018,1,,False
MICCAI,A,IA / ML,TIA@MICCAI,14,2020,2020,1,,False
MICCAI,A,IA / ML,ISIC@MICCAI,13,2025,2025,1,,False
MICCAI,A,IA / ML,ML-CDS/CLIP@MICCAI,13,2020,2020,1,,False
MICCAI,A,IA / ML,REMIA@MICCAI,13,2022,2022,1,,False
MICCAI,A,IA / ML,TGI3@MICCAI,13,2024,2024,1,,False
MICCAI,A,IA / ML,GRAIL@MICCAI,12,2024,2024,1,,False
MICCAI,A,IA / ML,ISGIE/GRAIL@MICCAI,12,2022,2022,1,,False
MICCAI,A,IA / ML,LMID@MICCAI,12,2025,2025,1,,False
MICCAI,A,IA / ML,OR/MLCN@MICCAI,12,2019,2019,1,,False
MICCAI,A,IA / ML,SWITCH/ISLES@MICCAI,12,2024,2024,1,,False
MICCAI,A,IA / ML,iMIMIC/TDA4MedicalData@MICCAI,12,2021,2021,1,,False
MICCAI,A,IA / ML,CADA@MICCAI,11,2020,2020,1,,False
MICCAI,A,IA / ML,EPIMI/ML-CDS@MICCAI,11,2022,2022,1,,False
MICCAI,A,IA / ML,MMAC@MICCAI,11,2023,2023,1,,False
MICCAI,A,IA / ML,SEG.A@MICCAI,11,2023,2023,1,,False
MICCAI,A,IA / ML,AIIIMA@MICCAI,10,2023,2023,1,,False
MICCAI,A,IA / ML,AortaSeg@MICCAI,10,2024,2024,1,,False
MICCAI,A,IA / ML,BONBID-HIE@MICCAI,10,2023,2023,1,,False
MICCAI,A,IA / ML,CuRIOUS/KiPA/MELA@MICCAI,10,2022,2022,1,,False
MICCAI,A,IA / ML,GRAIL/Beyond-MIC@MICCAI,10,2018,2018,1,,False
MICCAI,A,IA / ML,ML-CDS@MICCAI,10,2021,2021,1,,False
MICCAI,A,IA / ML,SeSAMI@MICCAI,10,2016,2016,1,,False
MICCAI,A,IA / ML,iMIMIC/ML-CDS@MICCAI,10,2019,2019,1,,False
MICCAI,A,IA / ML,HAIC@MICCAI,9,2025,2025,1,,False
MICCAI,A,IA / ML,MAD@MICCAI,9,2022,2022,1,,False
MICCAI,A,IA / ML,RNO-AI@MICCAI,9,2019,2019,1,,False
MICCAI,A,IA / ML,SWITCH@MICCAI,9,2025,2025,1,,False
MICCAI,A,IA / ML,AIPAD/PILM@MICCAI,8,2024,2024,1,,False
MICRO,A*,Sistemas,MICRO,1498,2001,2025,25,,False
MMSys,A,Redes,MMSys,709,2010,2025,16,,False
MOBICOM,A*,Redes,MobiCom,1930,2001,2025,25,,False
MODELS,A,Ing. del Software,MoDELS,732,2006,2022,16,,False
