venue,tier,tier_reason,tier_action,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
MMCN,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
NetStore,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
OPENARCH,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
PT,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
RTA,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
SDSDI,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
SMS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
SSR,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
VLSI,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.4,Sin clasificar,False,5,12,,,,
TEI,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.0,Sin clasificar,False,6,10,,,,
WG,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,13.0,Sin clasificar,False,6,10,,,,
AID,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,12.4,Sin clasificar,False,5,12,,,,
AIIM,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,12.4,Sin clasificar,False,5,12,,,,
ICSR,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,12.0,Sin clasificar,False,4,10,,,,
SPICE,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,12.0,Sin clasificar,False,4,10,,,,
TPDL,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,12.0,Sin clasificar,False,4,10,,,,
ISMM,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,11.6,Sin clasificar,False,5,8,,,,
NCA,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,11.6,Sin clasificar,False,5,8,,,,
