window,scenario,country_code,count,eu_den,share,rank
2001-2005,pessimistic_ES,SE,612,25708,0.023805819200248948,7
2001-2005,pessimistic_ES,PL,151,25708,0.005873658005290182,16
2006-2010,observed,AT,648,22048,0.02939042089985486,9
2006-2010,observed,MT,8,22048,0.000362844702467344,26
2006-2010,observed,BE,743,22048,0.03369920174165457,7
2006-2010,observed,RO,61,22048,0.002766690856313498,20
2006-2010,observed,NL,1614,22048,0.07320391872278664,6
2006-2010,observed,DE,5350,22048,0.24265239477503628,1
2006-2010,observed,GR,563,22048,0.025535195936139333,10
2006-2010,observed,ES,1680,22048,0.07619738751814223,5
2006-2010,observed,CY,38,22048,0.001723512336719884,21
2006-2010,observed,HU,166,22048,0.007529027576197387,17
2006-2010,observed,GB,4855,22048,0.22020137880986937,2
2006-2010,observed,BG,13,22048,0.0005896226415094339,25
2006-2010,observed,PT,411,22048,0.018641146589259798,13
2006-2010,observed,SK,29,22048,0.0013153120464441219,23
2006-2010,observed,FI,525,22048,0.023811683599419448,11
2006-2010,observed,IE,402,22048,0.018232946298984035,14
2006-2010,observed,SI,71,22048,0.0032202467343976776,18
2006-2010,observed,LU,69,22048,0.0031295355587808416,19
2006-2010,observed,LV,6,22048,0.00027213352685050797,27
2006-2010,observed,EE,32,22048,0.001451378809869376,22
2006-2010,observed,HR,19,22048,0.000861756168359942,24
2006-2010,observed,FR,4093,22048,0.18564042089985486,3
2006-2010,observed,DK,423,22048,0.01918541364296081,12
2006-2010,observed,IT,2132,22048,0.09669811320754718,4
2006-2010,observed,CZ,271,22048,0.012291364296081277,15
2006-2010,observed,LT,3,22048,0.00013606676342525398,28
2006-2010,observed,SE,735,22048,0.03333635703918723,8
2006-2010,observed,PL,210,22048,0.009524673439767779,16
2006-2010,optimistic_ES,AT,648,33316,0.019450114059310842,9
2006-2010,optimistic_ES,MT,8,33316,0.00024012486492976348,26
2006-2010,optimistic_ES,BE,743,33316,0.022301596830351784,7
2006-2010,optimistic_ES,RO,61,33316,0.0018309520950894466,20
2006-2010,optimistic_ES,NL,1614,33316,0.04844519149957978,6
2006-2010,optimistic_ES,DE,5350,33316,0.16058350342177932,2
2006-2010,optimistic_ES,GR,563,33316,0.016898787369432105,10
2006-2010,optimistic_ES,ES,12948,33316,0.3886420938888222,1
2006-2010,optimistic_ES,CY,38,33316,0.0011405931084163764,21
2006-2010,optimistic_ES,HU,166,33316,0.004982590947292592,17
2006-2010,optimistic_ES,GB,4855,33316,0.14572577740425022,3
2006-2010,optimistic_ES,BG,13,33316,0.00039020290551086565,25
2006-2010,optimistic_ES,PT,411,33316,0.012336414935766598,13
2006-2010,optimistic_ES,SK,29,33316,0.0008704526353703927,23
2006-2010,optimistic_ES,FI,525,33316,0.01575819426101573,11
2006-2010,optimistic_ES,IE,402,33316,0.012066274462720615,14
2006-2010,optimistic_ES,SI,71,33316,0.002131108176251651,18
2006-2010,optimistic_ES,LU,69,33316,0.0020710769600192098,19
2006-2010,optimistic_ES,LV,6,33316,0.0001800936486973226,27
2006-2010,optimistic_ES,EE,32,33316,0.0009604994597190539,22
2006-2010,optimistic_ES,HR,19,33316,0.0005702965542081882,24
2006-2010,optimistic_ES,FR,4093,33316,0.12285388401969023,4
2006-2010,optimistic_ES,DK,423,33316,0.012696602233161243,12
2006-2010,optimistic_ES,IT,2132,33316,0.06399327650378196,5
