scenario,window,country_code,count,eu_den,share,rank
historical_Astar_A,2011-2015,BE,878,26136,0.03359351086623814,9
historical_Astar_A,2011-2015,LU,144,26136,0.005509641873278237,18
historical_Astar_A,2011-2015,FR,4508,26136,0.17248239975512702,3
historical_Astar_A,2011-2015,HU,180,26136,0.006887052341597796,17
historical_Astar_A,2011-2015,CZ,373,26136,0.014271502907866544,15
historical_Astar_A,2011-2015,SI,71,26136,0.002716559534741353,20
historical_Astar_A,2011-2015,MT,9,26136,0.0003443526170798898,27
historical_Astar_A,2011-2015,EE,71,26136,0.002716559534741353,20
historical_Astar_A,2011-2015,SE,1009,26136,0.03860575451484542,8
historical_Astar_A,2011-2015,LT,3,26136,0.0001147842056932966,28
historical_Astar_A,2011-2015,IT,2560,26136,0.09794918885827977,4
historical_Astar_A,2016-2020,LV,12,31263,0.0003838403224258708,27
historical_Astar_A,2016-2020,GB,8966,31263,0.2867926942391965,1
historical_Astar_A,2016-2020,RO,126,31263,0.004030323385471644,19
historical_Astar_A,2016-2020,SK,68,31263,0.002175095160413268,23
historical_Astar_A,2016-2020,DK,1021,31263,0.03265841409973451,9
historical_Astar_A,2016-2020,FI,842,31263,0.026932795956881937,11
historical_Astar_A,2016-2020,IE,445,31263,0.01423407862329271,16
historical_Astar_A,2016-2020,DE,8270,31263,0.264529955538496,2
historical_Astar_A,2016-2020,BG,25,31263,0.0007996673383872309,25
historical_Astar_A,2016-2020,ES,1536,31263,0.049131561270511465,6
historical_Astar_A,2016-2020,HR,30,31263,0.000959600806064677,24
historical_Astar_A,2016-2020,GR,596,31263,0.019064069347151585,13
historical_Astar_A,2016-2020,NL,2370,31263,0.0758084636791095,5
historical_Astar_A,2016-2020,PT,557,31263,0.017816588299267504,14
historical_Astar_A,2016-2020,CY,73,31263,0.0023350286280907143,22
historical_Astar_A,2016-2020,PL,550,31263,0.01759268144451908,15
historical_Astar_A,2016-2020,AT,1469,31263,0.04698845280363369,7
historical_Astar_A,2016-2020,BE,903,31263,0.02888398426254678,10
historical_Astar_A,2016-2020,LU,217,31263,0.006941112497201164,17
historical_Astar_A,2016-2020,FR,4674,31263,0.1495058055848767,3
historical_Astar_A,2016-2020,HU,165,31263,0.005277804433355724,18
historical_Astar_A,2016-2020,CZ,615,31263,0.01967181652432588,12
historical_Astar_A,2016-2020,SI,93,31263,0.002974762498800499,20
historical_Astar_A,2016-2020,MT,14,31263,0.0004478137094968493,26
historical_Astar_A,2016-2020,EE,86,31263,0.0027508556440520742,21
historical_Astar_A,2016-2020,SE,1332,31263,0.04260627578927166,8
historical_Astar_A,2016-2020,LT,5,31263,0.00015993346767744618,28
historical_Astar_A,2016-2020,IT,2796,31263,0.08943479512522791,4
historical_Astar_A,2021-2025,LV,11,47038,0.000233853480164973,26
historical_Astar_A,2021-2025,GB,14709,47038,0.31270462179514436,1
historical_Astar_A,2021-2025,RO,141,47038,0.0029975764275691993,19
historical_Astar_A,2021-2025,SK,110,47038,0.00233853480164973,22
historical_Astar_A,2021-2025,DK,1710,47038,0.03635358646200944,9
historical_Astar_A,2021-2025,FI,1107,47038,0.023534163867511372,12
historical_Astar_A,2021-2025,IE,542,47038,0.011522598749946851,16
historical_Astar_A,2021-2025,DE,12955,47038,0.275415621412475,2
historical_Astar_A,2021-2025,BG,95,47038,0.0020196436923338576,24
historical_Astar_A,2021-2025,ES,1990,47038,0.042306220502572385,8
historical_Astar_A,2021-2025,HR,51,47038,0.0010842297716739658,25
historical_Astar_A,2021-2025,GR,648,47038,0.013776095922445683,14
historical_Astar_A,2021-2025,NL,3865,47038,0.08216760916705643,5
historical_Astar_A,2021-2025,PT,615,47038,0.013074535481950764,15
historical_Astar_A,2021-2025,CY,97,47038,0.0020621625069093073,23
historical_Astar_A,2021-2025,PL,1160,47038,0.02466091245376079,11
historical_Astar_A,2021-2025,AT,2217,47038,0.047132105956885925,6
historical_Astar_A,2021-2025,BE,1236,47038,0.026276627407627876,10
historical_Astar_A,2021-2025,LU,324,47038,0.006888047961222841,17
historical_Astar_A,2021-2025,FR,6337,47038,0.13472086398231217,3
historical_Astar_A,2021-2025,HU,169,47038,0.003592839831625494,18
historical_Astar_A,2021-2025,CZ,780,47038,0.01658233768442536,13
historical_Astar_A,2021-2025,SI,123,47038,0.0026149070963901525,21
historical_Astar_A,2021-2025,MT,11,47038,0.000233853480164973,26
historical_Astar_A,2021-2025,EE,126,47038,0.002678685318253327,20
historical_Astar_A,2021-2025,SE,2187,47038,0.04649432373825418,7
historical_Astar_A,2021-2025,LT,10,47038,0.00021259407287724819,28
