window,denominator_group,country_code,count,denominator,share
2006-2010,world_resolved,TM,0,63820,0.0
2006-2010,world_resolved,TN,47,63820,0.0007364462550924475
2006-2010,world_resolved,TR,215,63820,0.003368849890316515
2006-2010,world_resolved,TT,2,63820,3.133813851457223e-05
2006-2010,world_resolved,TV,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,TW,1012,63820,0.01585709808837355
2006-2010,world_resolved,TZ,2,63820,3.133813851457223e-05
2006-2010,world_resolved,UA,6,63820,9.40144155437167e-05
2006-2010,world_resolved,UG,2,63820,3.133813851457223e-05
2006-2010,world_resolved,UM,0,63820,0.0
2006-2010,world_resolved,US,29474,63820,0.46183014728925104
2006-2010,world_resolved,UY,7,63820,0.00010968348480100282
2006-2010,world_resolved,UZ,0,63820,0.0
2006-2010,world_resolved,VA,0,63820,0.0
2006-2010,world_resolved,VE,14,63820,0.00021936696960200565
2006-2010,world_resolved,VG,2,63820,3.133813851457223e-05
2006-2010,world_resolved,VI,0,63820,0.0
2006-2010,world_resolved,VN,14,63820,0.00021936696960200565
2006-2010,world_resolved,WS,0,63820,0.0
2006-2010,world_resolved,XK,0,63820,0.0
2006-2010,world_resolved,YE,0,63820,0.0
2006-2010,world_resolved,ZA,52,63820,0.000814791601378878
2006-2010,world_resolved,ZM,0,63820,0.0
2006-2010,world_resolved,ZW,4,63820,6.267627702914446e-05
2006-2010,eu27_uk,AT,648,22048,0.02939042089985486
2006-2010,eu27_uk,BE,743,22048,0.03369920174165457
2006-2010,eu27_uk,BG,13,22048,0.0005896226415094339
2006-2010,eu27_uk,CY,38,22048,0.001723512336719884
2006-2010,eu27_uk,CZ,271,22048,0.012291364296081277
2006-2010,eu27_uk,DE,5350,22048,0.24265239477503628
2006-2010,eu27_uk,DK,423,22048,0.01918541364296081
2006-2010,eu27_uk,EE,32,22048,0.001451378809869376
2006-2010,eu27_uk,ES,1680,22048,0.07619738751814223
2006-2010,eu27_uk,FI,525,22048,0.023811683599419448
2006-2010,eu27_uk,FR,4093,22048,0.18564042089985486
2006-2010,eu27_uk,GB,4855,22048,0.22020137880986937
2006-2010,eu27_uk,GR,563,22048,0.025535195936139333
2006-2010,eu27_uk,HR,19,22048,0.000861756168359942
2006-2010,eu27_uk,HU,166,22048,0.007529027576197387
