window,country_code,count,eu_den,share,rank,coverage_threshold
2021-2025,FI,1059,46037,0.023003236527141212,12,0.3
2021-2025,FR,6079,46037,0.13204596302973695,3,0.3
2021-2025,PL,1143,46037,0.024827855855073095,11,0.3
2021-2025,BE,1208,46037,0.026239763668353715,10,0.3
2021-2025,BG,95,46037,0.0020635575732562937,24,0.3
2021-2025,ES,1955,46037,0.04246584269174794,8,0.3
2021-2025,DK,1684,46037,0.03657927319330104,9,0.3
2021-2025,AT,2205,46037,0.047896257358211874,6,0.3
2021-2025,GR,642,46037,0.013945304863479375,14,0.3
2021-2025,PT,609,46037,0.013228490127506137,15,0.3
2021-2025,HR,51,46037,0.001107804591958642,25,0.3
2021-2025,GB,14367,46037,0.3120750700523492,1,0.3
2021-2025,EE,124,46037,0.00269348567456611,20,0.3
2021-2025,LV,11,46037,0.00023893824532441297,26,0.3
2021-2025,CY,97,46037,0.002107000890588005,23,0.3
2021-2025,IT,4034,46037,0.08762517105806199,4,0.3
2021-2025,HU,164,46037,0.0035623520212003388,18,0.3
2021-2025,IE,531,46037,0.01153420075156939,16,0.3
2021-2025,NL,3804,46037,0.08262918956491518,5,0.3
2021-2025,DE,12752,46037,0.2769945913069922,2,0.3
2021-2025,CZ,762,46037,0.016551903903382063,13,0.3
2021-2025,LU,317,46037,0.006885765797076265,17,0.3
