scenario,window,area,ES,EU27_UK,ES_share
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,HCI,122,2911,0.04190999656475438
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,IA / ML,827,10640,0.07772556390977443
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,IA/ML,147,1054,0.13946869070208728
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Ing. del Software,225,3258,0.06906077348066299
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Redes,93,1000,0.093
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Seguridad,52,965,0.0538860103626943
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Sistemas,208,2484,0.08373590982286634
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Teoría,65,1973,0.03294475418144957
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Bases de datos,92,1867,0.049276914836636314
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,HCI,66,3291,0.020054694621695533
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,IA / ML,780,15139,0.051522557632604535
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,IA/ML,60,1110,0.05405405405405406
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Ing. del Software,168,2591,0.06483983018139715
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Redes,86,908,0.0947136563876652
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Seguridad,54,1092,0.04945054945054945
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Sistemas,172,2576,0.06677018633540373
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Teoría,58,2689,0.021569356638155446
