venue,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,recommended_action,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
DEXA,MEDIUM,11.0,Bases de datos / Web / Conocimiento,False,1,5,Revisión manual antes de extraer DBLP,,,,
ECSCW,MEDIUM,11.0,HCI / CSCW / Documentos,False,1,5,Revisión manual antes de extraer DBLP,,,,
EKAW,MEDIUM,11.0,Bases de datos / Web / Conocimiento,False,1,5,Revisión manual antes de extraer DBLP,,,,
EuroMPI,MEDIUM,11.0,Sistemas / HPC / Arquitectura,False,1,5,Revisión manual antes de extraer DBLP,,,,
FST&TCS,MEDIUM,11.0,Teoría / Métodos formales / PL,False,1,5,Revisión manual antes de extraer DBLP,,,,
Group,MEDIUM,11.0,HCI / CSCW / Documentos,False,1,5,Revisión manual antes de extraer DBLP,,,,
ICIAP,MEDIUM,11.0,Visión / Imagen / Gráficos,False,1,5,Revisión manual antes de extraer DBLP,,,,
ICIP,MEDIUM,11.0,Visión / Imagen / Gráficos,False,1,5,Revisión manual antes de extraer DBLP,,,,
ISS,MEDIUM,10.4,Sin clasificar,False,4,7,Revisión manual antes de extraer DBLP,,,,
CEC,MEDIUM,10.2,Control / Señal / Ingeniería,False,2,6,Revisión manual antes de extraer DBLP,,,,
IWQoS,MEDIUM,10.0,Sin clasificar,True,1,5,Revisión manual antes de extraer DBLP,,,,
DSAA,LOW,9.4,Machine Learning / Data Mining,False,1,2,Probable exclusión o apéndice separado,,,,
OCIS,LOW,9.4,Sin clasificar,False,4,7,Probable exclusión o apéndice separado,,,,
PACIS,LOW,9.4,Sin clasificar,False,4,7,Probable exclusión o apéndice separado,,,,
ALT,LOW,9.2,Machine Learning / Data Mining,False,1,1,Probable exclusión o apéndice separado,,,,
Ada-Europe,LOW,8.8,Sin clasificar,False,3,9,Probable exclusión o apéndice separado,,,,
APCOMin,LOW,8.4,Sin clasificar,False,4,7,Probable exclusión o apéndice separado,,,,
QoSA,LOW,8.2,Sin clasificar,False,2,6,Probable exclusión o apéndice separado,,,,
TIME,LOW,8.2,Sin clasificar,False,2,6,Probable exclusión o apéndice separado,,,,
VL/HCC,LOW,8.2,Sin clasificar,False,2,6,Probable exclusión o apéndice separado,,,,
WADS,LOW,8.2,Sin clasificar,False,2,6,Probable exclusión o apéndice separado,,,,
ASIS&T,LOW,8.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
DIGRA,LOW,8.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
DUX,LOW,8.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
ICALT,LOW,8.0,Educación / Learning technologies,False,1,5,Probable exclusión o apéndice separado,,,,
AVSS,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
CSFW,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
DAS,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
ECWeb,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
EMMSAD,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
EuroCOLT,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
EuroSPI,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
FPSAC,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
ICC,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
ICMAS,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
ICMR,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
ICNN,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
ICPR,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
IJCNLP,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
ISESE,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
ISTA,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
ISTCS,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
IVCNZ,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
MASS,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
MMSP,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
MobileHCI,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
NSDI,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
P2P,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
PADL,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
PADS,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
PDC,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
PEPM,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
PRO-VE,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
QRS,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
RECOMB,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
RoboCup,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
SARA,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
SCA,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
SWAT,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
TREC,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
VCIP,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
VMCAI,LOW,6.0,Sin clasificar,False,1,5,Probable exclusión o apéndice separado,,,,
SecureComm,LOW,5.8,Sin clasificar,False,2,4,Probable exclusión o apéndice separado,,,,
BuildSys,LOW,5.4,Sin clasificar,False,1,2,Probable exclusión o apéndice separado,,,,
PacificVis,LOW,4.6,Sin clasificar,False,1,3,Probable exclusión o apéndice separado,,,,
AFIPS,LOW,4.4,Sin clasificar,False,1,2,Probable exclusión o apéndice separado,,,,
VISIGRAPP,LOW,4.2,Sin clasificar,False,1,1,Probable exclusión o apéndice separado,,,,
