venue,core_year,level_2008,level_2013,level_2010_inferred,policy_2010,reason
39,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
395,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
397,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
401,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
408,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
41,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
415,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
417,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
448,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
46,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
463,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
468,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
473,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
477,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
479,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
48,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
484,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
486,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
487,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
488,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
49,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
491,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
494,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
497,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
