venue,conference_name,core_year,level,level_in_file,ranking_version_in_file,source_file,source_venue_col,undifferentiated_2010
SPICE,Software Process Improvement and Capability Determination,2008,A,A,CORE2008,COREA-2008.csv,2,False
QRS,"Software Quality, Reliability, and Security (was International Conference on Quality Software, QSIC, that merged with SERE 2015)",2008,A,A,CORE2008,COREA-2008.csv,2,False
SAS,Static Analysis Symposium,2008,A,A,CORE2008,COREA-2008.csv,2,False
SSPR,Structural and Syntactical Pattern Recognition,2008,A,A,CORE2008,COREA-2008.csv,2,False
VLSI,Symposia on VLSI Technology and Circuits,2008,A,A,CORE2008,COREA-2008.csv,2,False
MASCOTS,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
SARA,"Symposium on Abstraction, Reformulation and Approximation",2008,A,A,CORE2008,COREA-2008.csv,2,False
MassPar,Symposium on Frontiers of Massively Parallel Processing,2008,A,A,CORE2008,COREA-2008.csv,2,False
HOTCHIPS (HCS),Symposium on High Performance Chips,2008,A,A,CORE2008,COREA-2008.csv,2,False
NSDI,"Symposium on Networked Systems, Design and Implementation",2008,A,A,CORE2008,COREA-2008.csv,2,False
SPAA,Symposium on Parallelism in Algorithms and Architectures,2008,A,A,CORE2008,COREA-2008.csv,2,False
SRDS,Symposium on Reliable Distributed Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
TREC,Text Retrieval Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
RAID,"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",2008,A,A,CORE2008,COREA-2008.csv,2,False
TARK,Theoretical Aspects of Rationality and Knowledge,2008,A,A,CORE2008,COREA-2008.csv,2,False
TACAS,Tools and Algorithms for Construction and Analysis of Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
USITS,Unix Symposium on Internet Technologies,2008,A,A,CORE2008,COREA-2008.csv,2,False
SDSDI,Unix Symposium on Operating Systems Design and Implementation,2008,A,A,CORE2008,COREA-2008.csv,2,False
USENIX,Usenix Annual Technical Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
NDSS,Usenix Network and Distributed System Security Symposium,2008,A,A,CORE2008,COREA-2008.csv,2,False
HotOS,USENIX Workshop on Hot Topics in Operating Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
VMCAI,"Verification, Model Checking and Abstract Interpretation",2008,A,A,CORE2008,COREA-2008.csv,2,False
